li_item_id,percentage_applied,event_type_code,schedule_code
"11783E_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11784F_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11784F_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11784F_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11784F_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11784F_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11784F_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11785G_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11785G_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11785G_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11785G_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11785G_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11785G_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11786H_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11786H_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11786H_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11786H_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11786H_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11786H_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11787J_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11787J_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11787J_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11787J_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11787J_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11787J_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11788K_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11788K_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11788K_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11788K_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11788K_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11788K_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11789L_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11789L_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11789L_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11789L_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11789L_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11789L_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11870R_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11870R_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11870R_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11870R_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11875B_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"11875B_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11878E_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11878E_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11878E_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11878E_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11878E_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11878E_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11880G_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11880G_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11880G_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11880G_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11880G_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11880G_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11964Q_8839_1344_48444_48494","40.18","SPR_SINGLE_PD","4535"
"11964Q_8839_1344_48444_55277","40.18","SPR_SINGLE_PD","4535"
"11964Q_8839_1344_48444_55279","40.18","SPR_SINGLE_PD","4535"
"11964Q_8839_1344_48444_55288","40.18","SPR_SINGLE_PD","4535"
"11965R_8839_1344_48444_48494","40.18","SPR_SINGLE_PD","4535"
"11965R_8839_1344_48444_55277","40.18","SPR_SINGLE_PD","4535"
"11965R_8839_1344_48444_55279","40.18","SPR_SINGLE_PD","4535"
"11965R_8839_1344_48444_55288","40.18","SPR_SINGLE_PD","4535"
"11966T_11577_1344_48440_48446","40.18","SPR_SINGLE_PD","4535"
"11966T_11577_1344_48440_55217","40.18","SPR_SINGLE_PD","4535"
"11966T_11577_1344_48440_55219","40.18","SPR_SINGLE_PD","4535"
"11966T_11577_1344_48440_55220","40.18","SPR_SINGLE_PD","4535"
"11967W_11577_1344_48440_48446","40.18","SPR_SINGLE_PD","4535"
"11967W_11577_1344_48440_55217","40.18","SPR_SINGLE_PD","4535"
"11967W_11577_1344_48440_55219","40.18","SPR_SINGLE_PD","4535"
"11967W_11577_1344_48440_55220","40.18","SPR_SINGLE_PD","4535"
"11968X_8119_1344_48442_48493","40.18","SPR_SINGLE_PD","4535"
"11968X_8119_1344_48442_55203","40.18","SPR_SINGLE_PD","4535"
"11968X_8119_1344_48442_55204","40.18","SPR_SINGLE_PD","4535"
"11968X_8119_1344_48442_55205","40.18","SPR_SINGLE_PD","4535"
